specific_NameDe,generic_candidates_NameDe
HIT-RE 500 V4,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei"
HIT-RE 500 V4,Reaktionsharz auf Methacrylatharzbasis
HIT-RE 500 V4,"Reaktionsharz auf Epoxidharzbasis, gefüllt"
HIT-CT 100,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis
HIT-CT 100,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei"
HIT-CT 100,Reaktionsharz auf Methacrylatharzbasis
HIT-CT 100,"Reaktionsharz auf Epoxidharzbasis, gefüllt"
PROMATECT®-H RWS/HCM,Calziumsilikatplatte
PROMATECT®-H RWS/HCM,Porenbeton Mineraldämmplatte
MASTERBOARD®,Calziumsilikatplatte
MASTERBOARD®,Porenbeton Mineraldämmplatte
SUPALUX®,Calziumsilikatplatte
SUPALUX®,Porenbeton Mineraldämmplatte
PROMATECT®-H,Calziumsilikatplatte
PROMATECT®-H,Porenbeton Mineraldämmplatte
WINDPANEL® Standard und WINDPANEL® Premium,Calziumsilikatplatte
WINDPANEL® Standard und WINDPANEL® Premium,Porenbeton Mineraldämmplatte
HALFEN Iso-ElemenT HIT-HP/SP,Tragende Wärmedämmelemente
HALFEN Iso-ElemenT HIT-HP MVX,Tragende Wärmedämmelemente
KXT50-CV35-V6-H200-REI120,Tragende Wärmedämmelemente
CXT Typ K-M1-V1-REI120-CV26-H200-1.0,Tragende Wärmedämmelemente
XT Typ K-M6-V1-REI120-CV35-H200-6.0,Tragende Wärmedämmelemente
KXT Combar,Tragende Wärmedämmelemente
QXT-H200-REI120,Tragende Wärmedämmelemente
Dämmplatte mit Neopor® Plus,EPS-Hartschaumdämmung
Dämmplatte mit Neopor® Plus,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
Dämmplatte mit Neopor® Plus,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
blaugelb Dämmplatten EPS,EPS-Hartschaumdämmung
blaugelb Dämmplatten EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
blaugelb Dämmplatten EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
blaugelb Bankanschlussprofil EPS,EPS-Hartschaumdämmung
blaugelb Bankanschlussprofil EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
blaugelb Bankanschlussprofil EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
Dämmplatte mit Neopor® Plus BMB,EPS-Hartschaumdämmung
Dämmplatte mit Neopor® Plus BMB,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
Dämmplatte mit Neopor® Plus BMB,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
blaugelb Sockeldämmprofil EPS,EPS-Hartschaumdämmung
blaugelb Sockeldämmprofil EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
blaugelb Sockeldämmprofil EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
blaugelb Dämmplatten MultiPro EPS,EPS-Hartschaumdämmung
blaugelb Dämmplatten MultiPro EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
blaugelb Dämmplatten MultiPro EPS,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
blaugelb Triotherm+ Profile,EPS-Hartschaumdämmung
blaugelb Triotherm+ Profile,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
blaugelb Triotherm+ Profile,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
SAGEX expandiertes Polystyrol,EPS-Hartschaumdämmung
SAGEX expandiertes Polystyrol,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden)
SAGEX expandiertes Polystyrol,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel)
Bachl ReXPS - Extrudierte Polystyrol-Schaumstoffplatten,XPS-Dämmstoff
Bachl ReXPS - Extrudierte Polystyrol-Schaumstoffplatten,Extrudierter Polystyrol Dämmstoff (XPS)
Austrotherm UNIPLATTE®,XPS-Dämmstoff
Austrotherm UNIPLATTE®,Extrudierter Polystyrol Dämmstoff (XPS)
Bachl ReXPS - Extruded Polystyrene (XPS) foam board,XPS-Dämmstoff
Bachl ReXPS - Extruded Polystyrene (XPS) foam board,Extrudierter Polystyrol Dämmstoff (XPS)
Hempflax-Thermo Combi Hanf Jute Dämmmatten,Hanfvlies
GUTEX Thermoflex,Lose Hobelspandämmung
GUTEX Thermoflex,Holzfaserdämmplatte (Nassverfahren)
best wood FIBRE,Lose Hobelspandämmung
best wood FIBRE,Holzfaserdämmplatte (Nassverfahren)
GUTEX Thermofibre,Lose Hobelspandämmung
GUTEX Thermofibre,Holzfaserdämmplatte (Nassverfahren)
Holzfaserdämmstoffe im Trockenverfahren 110-200 kg/m³,Lose Hobelspandämmung
Holzfaserdämmstoffe im Trockenverfahren 110-200 kg/m³,Holzfaserdämmplatte (Nassverfahren)
STEICOflex F,Lose Hobelspandämmung
STEICOflex F,Holzfaserdämmplatte (Nassverfahren)
best wood Holzfaser-Dämmplatten,Lose Hobelspandämmung
best wood Holzfaser-Dämmplatten,Holzfaserdämmplatte (Nassverfahren)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A2",Mineralwolle (Flachdach-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A2",Mineralwolle (Schrägdach-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A2",Mineralwolle (Fassaden-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A2",Einblasdämmung Mineralwolle
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A2",Mineralwolle (Innenausbau-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A2",Mineralwolle (Boden-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A1",Mineralwolle (Flachdach-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A1",Mineralwolle (Schrägdach-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A1",Mineralwolle (Fassaden-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A1",Einblasdämmung Mineralwolle
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A1",Mineralwolle (Innenausbau-Dämmung)
"PIPELANE Rohrschalen aus Glaswolle, phenolharzgebunden +A1",Mineralwolle (Boden-Dämmung)
Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle,Mineralwolle (Flachdach-Dämmung)
Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle,Mineralwolle (Schrägdach-Dämmung)
Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle,Mineralwolle (Fassaden-Dämmung)
Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle,Einblasdämmung Mineralwolle
Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle,Mineralwolle (Innenausbau-Dämmung)
Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle,Mineralwolle (Boden-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A2",Mineralwolle (Flachdach-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A2",Mineralwolle (Schrägdach-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A2",Mineralwolle (Fassaden-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A2",Einblasdämmung Mineralwolle
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A2",Mineralwolle (Innenausbau-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A2",Mineralwolle (Boden-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A1",Mineralwolle (Flachdach-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A1",Mineralwolle (Schrägdach-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A1",Mineralwolle (Fassaden-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A1",Einblasdämmung Mineralwolle
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A1",Mineralwolle (Innenausbau-Dämmung)
"SAGLAN Glaswolle, mit bio-basiertem Bindemittel +A1",Mineralwolle (Boden-Dämmung)
"SAGLAN Glaswolle, phenolharzgebunden +A1",Mineralwolle (Flachdach-Dämmung)
"SAGLAN Glaswolle, phenolharzgebunden +A1",Mineralwolle (Schrägdach-Dämmung)
"SAGLAN Glaswolle, phenolharzgebunden +A1",Mineralwolle (Fassaden-Dämmung)
"SAGLAN Glaswolle, phenolharzgebunden +A1",Einblasdämmung Mineralwolle
"SAGLAN Glaswolle, phenolharzgebunden +A1",Mineralwolle (Innenausbau-Dämmung)
"SAGLAN Glaswolle, phenolharzgebunden +A1",Mineralwolle (Boden-Dämmung)
Kooltherm® K8 D Plus,Phenolharz Hartschaum
Austrotherm Resolution® Fassade,Phenolharz Hartschaum
Kooltherm® K8 D,Phenolharz Hartschaum
flexen® Exzenterblock Compact,Polyethylen-Schaum
ArmaPET Eco50,Polyethylen-Schaum
ArmaPET® Eco50,Polyethylen-Schaum
flexen® PE-Stabil,Polyethylen-Schaum
Stiferite BB durchschnittlich dicke Platte,PIR Hartschaum
Stiferite BB durchschnittlich dicke Platte,PUR Hartschaum
Therma? TW56,PIR Hartschaum
Therma? TW56,PUR Hartschaum
Therma? TW55 R,PIR Hartschaum
Therma? TW55 R,PUR Hartschaum
Isolparma RF7 HP durchschnittliche Dicke,PIR Hartschaum
Isolparma RF7 HP durchschnittliche Dicke,PUR Hartschaum
Isolparma Pendenzato RF8,PIR Hartschaum
Isolparma Pendenzato RF8,PUR Hartschaum
Stiferite FIRE B durchschnittlich dicke Platte,PIR Hartschaum
Stiferite FIRE B durchschnittlich dicke Platte,PUR Hartschaum
Stiferite Isocanale A6B Platte mit mittlerer Dicke,PIR Hartschaum
Stiferite Isocanale A6B Platte mit mittlerer Dicke,PUR Hartschaum
Stiferit GTM durchschnittlich dicke Platte,PIR Hartschaum
Stiferit GTM durchschnittlich dicke Platte,PUR Hartschaum
ISOLPARMA ISOLCART durchschnittliche Dicke,PIR Hartschaum
ISOLPARMA ISOLCART durchschnittliche Dicke,PUR Hartschaum
Isolparma RF7 durchschnittliche Dicke,PIR Hartschaum
Isolparma RF7 durchschnittliche Dicke,PUR Hartschaum
Isolparma RFM,PIR Hartschaum
Isolparma RFM,PUR Hartschaum
Isolparma Pendenzato RF7,PIR Hartschaum
Isolparma Pendenzato RF7,PUR Hartschaum
Isolparma RF8 HP durchschnittliche Dicke,PIR Hartschaum
Isolparma RF8 HP durchschnittliche Dicke,PUR Hartschaum
Stiferite Pendenzato Klasse S durchschnittliche Dicke,PIR Hartschaum
Stiferite Pendenzato Klasse S durchschnittliche Dicke,PUR Hartschaum
Stiferite CLASS SH mittlere Dicke,PIR Hartschaum
Stiferite CLASS SH mittlere Dicke,PUR Hartschaum
Stiferite CLASS BH mittlere Dicke,PIR Hartschaum
Stiferite CLASS BH mittlere Dicke,PUR Hartschaum
Isolparma RFK durchschnittliche Dicke,PIR Hartschaum
Isolparma RFK durchschnittliche Dicke,PUR Hartschaum
Therma? TW58,PIR Hartschaum
Therma? TW58,PUR Hartschaum
"Stiferite Pendenzato Klasse B, durchschnittliche Dicke",PIR Hartschaum
"Stiferite Pendenzato Klasse B, durchschnittliche Dicke",PUR Hartschaum
Stiferit RP durchschnittliche Dicke,PIR Hartschaum
Stiferit RP durchschnittliche Dicke,PUR Hartschaum
Therma? TR29 / Therma? TT49,PIR Hartschaum
Therma? TR29 / Therma? TT49,PUR Hartschaum
Isolparma RF2,PIR Hartschaum
Isolparma RF2,PUR Hartschaum
GLAPOR Schaumglasplatten,Schaumglas Dämmstoff
GLAPOR Schaumglasschotter,Schaumglas Dämmstoff
FOAMGLAS® W+F und FOAMGLAS® T3+,Schaumglas Dämmstoff
FOAMGLAS® T4+,Schaumglas Dämmstoff
GLAPOR Schaumglas,Schaumglas Dämmstoff
FOAMGLAS® F,Schaumglas Dämmstoff
FOAMGLAS® T3+,Schaumglas Dämmstoff
FOAMGLAS® S3,Schaumglas Dämmstoff
CALOSTAT®,"Vakuum-Isolations-Paneel (VIP), unkaschiert"
FASBA e.V. GaBi Baustroh,Strohdämmung
FASBA e.V. Baustroh 100 kg/m³,Strohdämmung
Huppenberger-Maxit Strohbauplatten Rohdichte 220 kg/m³,Strohdämmung
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS Verklebung und Beschichtung Kratzputz mineralisch
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS Verklebung und Beschichtung Leichtputz mineralisch
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS Verklebung und Beschichtung Silikonharzputz
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS EPS mit Schienenbefestigung
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS Verklebung und Beschichtung Dekorputz mineralisch
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS Verklebung und Beschichtung Silikat-Dispersionsputz
Egcobox® Kragplattenanschluss Typ MM/MXL,WDVS Verklebung und Beschichtung Kunstharzputz
Thermofloc,Zellulosefaserplatten
Thermofloc,Zellulosefaser Einblas-Dämmstoff
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Leuchstoffröhrenfassung T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,LED Bürobeleuchtung
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Leuchtstoffröhre T8-36W
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Kabel 5 adrig
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 2x T5-28W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Vorschaltgerät EVG
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Leuchtstoffröhre T5-14W
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Steckdose
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,"Gehäuse Downlight 18W (CFL, G24D))"
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Leuchstoffröhrenfassung T8-18W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Wannenleuchte (Feuchtraum) T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Leuchtstoffröhre T8-18W
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Vorschaltgerät VVG
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Kabel 3 adrig
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Kabel CAT 7
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Leuchtstoffröhre T5-28W
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Rasterleuchte 2x T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 3x T8-18W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Kippschalter (Lichtschalter)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 3x T5-14W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Kompaktleuchtstofflampe 18W (Vorschaltgerät extern)
Kabeltragsystem - OBO Bettermann - Kabelleitersystem inkl. Systembauteile,Kabel 1 adrig
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Leuchstoffröhrenfassung T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,LED Bürobeleuchtung
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Leuchtstoffröhre T8-36W
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Kabel 5 adrig
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 2x T5-28W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Vorschaltgerät EVG
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Leuchtstoffröhre T5-14W
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Steckdose
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,"Gehäuse Downlight 18W (CFL, G24D))"
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Leuchstoffröhrenfassung T8-18W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Wannenleuchte (Feuchtraum) T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Leuchtstoffröhre T8-18W
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Vorschaltgerät VVG
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Kabel 3 adrig
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Kabel CAT 7
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Leuchtstoffröhre T5-28W
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Rasterleuchte 2x T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 3x T8-18W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Kippschalter (Lichtschalter)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 3x T5-14W (LFL)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Kompaktleuchtstofflampe 18W (Vorschaltgerät extern)
Kabeltragsystem - OBO Bettermann - Kabelrinnensystem inkl. Systembauteile,Kabel 1 adrig
Kabetragsystem - OBO Bettermann - Weitspannsystem,Leuchstoffröhrenfassung T8-36W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,LED Bürobeleuchtung
Kabetragsystem - OBO Bettermann - Weitspannsystem,Leuchtstoffröhre T8-36W
Kabetragsystem - OBO Bettermann - Weitspannsystem,Kabel 5 adrig
Kabetragsystem - OBO Bettermann - Weitspannsystem,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Rasterleuchte Deckenintegriert 2x T5-28W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Vorschaltgerät EVG
Kabetragsystem - OBO Bettermann - Weitspannsystem,Leuchtstoffröhre T5-14W
Kabetragsystem - OBO Bettermann - Weitspannsystem,Steckdose
Kabetragsystem - OBO Bettermann - Weitspannsystem,"Gehäuse Downlight 18W (CFL, G24D))"
Kabetragsystem - OBO Bettermann - Weitspannsystem,Leuchstoffröhrenfassung T8-18W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Wannenleuchte (Feuchtraum) T8-36W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Leuchtstoffröhre T8-18W
Kabetragsystem - OBO Bettermann - Weitspannsystem,Vorschaltgerät VVG
Kabetragsystem - OBO Bettermann - Weitspannsystem,Kabel 3 adrig
Kabetragsystem - OBO Bettermann - Weitspannsystem,Kabel CAT 7
Kabetragsystem - OBO Bettermann - Weitspannsystem,Leuchtstoffröhre T5-28W
Kabetragsystem - OBO Bettermann - Weitspannsystem,Rasterleuchte 2x T8-36W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Rasterleuchte Deckenintegriert 3x T8-18W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Kippschalter (Lichtschalter)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Rasterleuchte Deckenintegriert 3x T5-14W (LFL)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Kompaktleuchtstofflampe 18W (Vorschaltgerät extern)
Kabetragsystem - OBO Bettermann - Weitspannsystem,Kabel 1 adrig
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Leuchstoffröhrenfassung T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,LED Bürobeleuchtung
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Leuchtstoffröhre T8-36W
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Kabel 5 adrig
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität)
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Rasterleuchte Deckenintegriert 2x T5-28W (LFL)
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Vorschaltgerät EVG
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Leuchtstoffröhre T5-14W
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Steckdose
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,"Gehäuse Downlight 18W (CFL, G24D))"
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Leuchstoffröhrenfassung T8-18W (LFL)
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Wannenleuchte (Feuchtraum) T8-36W (LFL)
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Leuchtstoffröhre T8-18W
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Vorschaltgerät VVG
Kabeltragsystem - OBO Bettermann - Gitterrinnensystem inkl. Systembauteile,Kabel 3 adrig
